track_name,artist_name,danceability,energy,valence,acousticness,year
Calabria 2008,Enur,0.891,0.657,0.453,0.00833,2020
Lalala,Y2K,0.843,0.39,0.495,0.178,2020
Ben 10 - Theme Song,Kids Superstars,0.738,0.799,0.882,0.249,2020
The Dice Beat Pt. 1,Ricky Desktop,0.946,0.269,0.0999,0.018,2020
Crimewave,Crystal Castles,0.746,0.691,0.888,0.184,2020
Mr. Sandman,The Chordettes,0.616,0.426,0.589,0.634,2020
Toy,Netta,0.786,0.712,0.795,0.0706,2020
Tonight You Belong To Me,Patience & Prudence,0.68,0.32,0.769,0.954,2020
It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,0.657,0.574,0.211,0.016,2020
All I Want,Olivia Rodrigo,0.376,0.43,0.129,0.0902,2020
Stronger,Kanye West,0.617,0.717,0.49,0.00564,2020
After Party,Don Toliver,0.629,0.692,0.453,0.00981,2020
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,0.645,0.705,0.376,0.000813,2020
Take It Off,Kesha,0.729,0.675,0.74,4.14e-05,2020
3 Musketeers,NextYoungin,0.91,0.617,0.572,0.258,2020
Heal Me,Lady Gaga,0.606,0.544,0.456,0.0481,2020
Queen of Disaster,Scarlett Rose,0.688,0.316,0.688,0.631,2020
Leave Em Alone,Quality Control,0.517,0.747,0.506,0.0189,2020
Hurts So Good,Astrid S,0.675,0.609,0.378,0.084,2020
Confident,Justin Bieber,0.738,0.563,0.876,0.113,2020
I'd Rather Sleep,Kero Kero Bonito,0.765,0.579,0.855,0.0107,2020
Coffee Breath,Sofia Mills,0.866,0.211,0.198,0.974,2020
Ready or Not,Bridgit Mendler,0.715,0.872,0.748,0.00351,2020
Toosie Slide,Drake,0.834,0.454,0.837,0.321,2020
Roses - Imanbek Remix,SAINt JHN,0.77,0.724,0.898,0.0167,2020
No Idea,Don Toliver,0.652,0.631,0.35,0.524,2020
Go Crazy,Chris Brown,0.755,0.578,0.581,0.316,2020
No Guidance (feat. Drake),Chris Brown,0.696,0.454,0.136,0.123,2020
Please Mr. Postman - Single Version / Mono,The Marvelettes,0.785,0.776,0.967,0.729,2020
Get Up (feat. Chamillionaire),Ciara,0.964,0.595,0.629,0.0248,2020
Lay All Your Love On Me,ABBA,0.695,0.701,0.58,0.0187,2020
Vibe (If I Back It Up),Cookiee Kawaii,0.754,0.568,0.175,0.0635,2020
Something New (feat. Ty Dolla $ign),Wiz Khalifa,0.814,0.635,0.784,0.0935,2020
Magic In The Hamptons (feat. Lil Yachty),Social House,0.769,0.479,0.803,0.66,2020
Watermelon Sugar,Harry Styles,0.548,0.816,0.557,0.122,2020
Paradise,Coldplay,0.449,0.585,0.212,0.0509,2020
Cyber Sex,Doja Cat,0.917,0.657,0.818,0.318,2020
We Know,Lin-Manuel Miranda,0.718,0.484,0.692,0.312,2020
All The Stars (with SZA),Kendrick Lamar,0.698,0.633,0.552,0.0605,2020
Because Of You,Ne-Yo,0.81,0.538,0.828,0.528,2020
Chanel,Frank Ocean,0.776,0.503,0.473,0.874,2020
Round of Applause,K'ron,0.42,0.656,0.448,0.494,2020
Daisy,Ashnikko,0.834,0.663,0.774,0.235,2020
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.632,0.683,0.701,0.163,2020
Won't Bite (feat. Smino),Doja Cat,0.807,0.783,0.592,0.351,2020
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,0.744,0.614,0.774,0.00685,2020
Just Can’t Get Enough,Black Eyed Peas,0.659,0.628,0.262,0.186,2020
Drugs,UPSAHL,0.883,0.415,0.318,0.35,2020
SUGAR,BROCKHAMPTON,0.453,0.538,0.516,0.449,2020
Y U Gotta B Like That,Audrey Mika,0.732,0.413,0.761,0.287,2020
Take Your Man,Mahogany Lox,0.934,0.658,0.344,0.411,2020
Save Your Tears,The Weeknd,0.68,0.826,0.644,0.0212,2020
Love Songs,Kaash Paige,0.64,0.355,0.451,0.83,2020
GOOBA,6ix9ine,0.611,0.688,0.393,0.0264,2020
Bored In The House,Tyga,0.928,0.372,0.732,0.0202,2020
Bound 2,Kanye West,0.367,0.665,0.31,0.145,2020
Still into You,Paramore,0.602,0.923,0.765,0.0098,2020
Don't Wanna Fall In Love,KYLE,0.487,0.617,0.604,0.0151,2020
prom dress,mxmtoon,0.56,0.674,0.421,0.698,2020
fast,Sueco,0.877,0.503,0.529,0.164,2020
High Fashion (feat. Mustard),Roddy Ricch,0.831,0.499,0.511,0.269,2020
Knock at the Door,Playsongs People,0.604,0.151,0.216,0.821,2020
Be My Baby,The Ronettes,0.512,0.771,0.803,0.168,2020
Something For Your M.I.N.D.,Superorganism,0.698,0.542,0.664,0.132,2020
Mary Jane (All Night Long),Mary J. Blige,0.784,0.298,0.846,0.125,2020
Electric Feel,MGMT,0.763,0.803,0.561,0.0709,2020
Savage Remix (feat. Beyoncé),Megan Thee Stallion,0.822,0.743,0.636,0.016,2020
Dancing in My Room,347aidan,0.98,0.413,0.764,0.671,2020
20 Min,Lil Uzi Vert,0.773,0.75,0.783,0.109,2020
Throw That Back Like a Cadillac,El Memer,0.894,0.627,0.383,0.0758,2020
Gangsta,Kehlani,0.465,0.446,0.131,0.102,2020
Monster,Lady Gaga,0.694,0.801,0.646,0.00124,2020
My Ordinary Life,The Living Tombstone,0.648,0.827,0.598,0.00533,2020
Walked In,Ultradiox,0.891,0.538,0.643,0.123,2020
Lemonade,Internet Money,0.799,0.66,0.471,0.256,2020
F2020,Avenue Beat,0.702,0.597,0.383,0.587,2020
Desperado,Rihanna,0.685,0.61,0.323,0.323,2020
Tap In,Saweetie,0.954,0.696,0.432,0.00576,2020
Good Form (feat. Lil Wayne) - Remix,Nicki Minaj,0.898,0.733,0.295,0.0533,2020
Island In The Sun,Weezer,0.654,0.81,0.661,0.00719,2020
Deep End Freestyle,Sleepy Hallow,0.876,0.479,0.776,0.703,2020
Ramalama (Bang Bang),Róisín Murphy,0.822,0.655,0.518,0.205,2020
Outside (feat. Ellie Goulding),Calvin Harris,0.646,0.823,0.418,0.213,2020
Only The Young - Featured in Miss Americana,Taylor Swift,0.56,0.78,0.602,0.00244,2020
Wet (She Got That…),YFN Lucci,0.695,0.642,0.316,0.238,2020
Walk Man,Tiny Meat Gang,0.928,0.696,0.396,0.331,2020
Marlboro Nights,Lonely God,0.497,0.825,0.812,0.00166,2020
Aesthetic,Xilo,0.714,0.594,0.45,0.965,2020
Paris,Else,0.792,0.583,0.54,0.023,2020
Do It,Chloe x Halle,0.725,0.668,0.566,0.0932,2020
Hello?,Clairo,0.839,0.473,0.0644,0.641,2020
Yellow Hearts (feat. Audrey Mika),Ant Saunders,0.816,0.401,0.678,0.464,2020
Love Story (Taylor’s Version),Taylor Swift,0.626,0.79,0.416,0.135,2020
Another Day Of Sun,La La Land Cast,0.588,0.742,0.824,0.0162,2020
iSpy (feat. Lil Yachty),KYLE,0.746,0.653,0.672,0.378,2020
Vibin',Kesh Kesh,0.686,0.805,0.289,0.00478,2020
Hungry Hippo,Tierra Whack,0.893,0.61,0.778,0.0227,2020
Becky,Championxiii,0.934,0.439,0.289,0.00506,2020
Kraazy,Likybo,0.689,0.701,0.37,0.314,2020
Kream (feat. Tyga),Iggy Azalea,0.785,0.425,0.192,0.0335,2020
Let Go,Ark Patrol,0.47,0.436,0.0389,0.67,2020
Lost,Frank Ocean,0.913,0.603,0.497,0.0272,2020
Still Don't Know My Name,Labrinth,0.316,0.63,0.313,0.471,2020
Disco Inferno,50 Cent,0.925,0.659,0.71,0.206,2020
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,0.432,0.612,0.253,0.00185,2020
Marry Me,Rasheeda,0.769,0.637,0.361,0.0476,2020
TKN (feat. Travis Scott),ROSALÍA,0.776,0.509,0.485,0.192,2020
Do It Again,Pia Mia,0.712,0.564,0.411,0.0266,2020
223's (feat. 9lokknine),YNW Melly,0.932,0.547,0.695,0.0388,2020
VALENTINO,24kGoldn,0.746,0.717,0.523,0.199,2020
May I,Flo Milli,0.896,0.78,0.85,0.0828,2020
THICK (feat. Megan Thee Stallion) - Remix,DJ Chose,0.877,0.747,0.679,0.0288,2020
Rake It Up (feat. Nicki Minaj),Yo Gotti,0.91,0.444,0.53,0.022,2020
Crisis,Jasiah,0.76,0.794,0.583,0.263,2020
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,0.824,0.854,0.896,0.016,2020
Ponteme Despalda,Nfasis,0.78,0.766,0.441,0.0181,2020
When She Loved Me,Lyn Lapid,0.604,0.0458,0.617,0.973,2020
Say It Right,Nelly Furtado,0.872,0.872,0.809,0.0476,2020
To the Right,Devour,0.946,0.671,0.731,0.204,2020
Let It Happen,Tame Impala,0.602,0.881,0.577,0.00462,2020
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,0.8,0.658,0.462,0.25,2020
Let's Do It Again,J Boog,0.631,0.696,0.927,0.578,2020
SLOW DANCING IN THE DARK,Joji,0.515,0.479,0.284,0.544,2020
hate u love u,Olivia O'Brien,0.407,0.416,0.246,0.656,2020
Laxed – Siren Beat,Jawsh 685,0.736,0.62,0.959,0.0577,2020
Get It Together,Drake,0.781,0.721,0.849,0.0945,2020
Pocketful of Sunshine,Natasha Bedingfield,0.721,0.88,0.655,0.191,2020
Always Forever,Cults,0.174,0.742,0.36,0.00181,2020
Party Party Party (feat. Chris Brown & Dej Loaf),DJ Carisma,0.601,0.602,0.564,0.00376,2020
Interior Crocodile Alligator,Chip Tha Ripper,0.742,0.727,0.774,0.0136,2020
One Wish,Ray J,0.525,0.652,0.602,0.278,2020
Baby I'm Yours,Breakbot,0.829,0.792,0.758,0.726,2020
Cha Cha,Freddie Dredd,0.792,0.698,0.751,0.489,2020
Go Go Go Who's Next?,Hip Hop Harry,0.95,0.738,0.568,0.113,2020
No Role Modelz,J. Cole,0.69,0.521,0.494,0.324,2020
Addison Rae,The Kid LAROI,0.901,0.49,0.397,0.0155,2020
WHATS POPPIN,Jack Harlow,0.923,0.604,0.826,0.017,2020
Cheryl,Yung Gravy,0.801,0.698,0.502,0.0477,2020
Ultralight Beam,Kanye West,0.592,0.403,0.391,0.62,2020
Mr. Clean,Yung Gravy,0.758,0.701,0.626,0.685,2020
feel something,Bea Miller,0.74,0.415,0.156,0.242,2020
Rodeo,Lil Nas X,0.706,0.679,0.657,0.139,2020
Then Leave (feat. Queendom Come),BeatKing,0.912,0.568,0.491,0.0656,2020
I Wanna Love You,Akon,0.863,0.501,0.357,0.0164,2020
Everybody Talks,Neon Trees,0.471,0.924,0.725,0.00301,2020
Can't Leave 'Em Alone (feat. 50 Cent),Ciara,0.527,0.696,0.499,0.209,2020
Moment 4 Life,Nicki Minaj,0.68,0.881,0.386,0.406,2020
We R Who We R,Kesha,0.736,0.817,0.653,0.00987,2020
Give Your Heart a Break,Demi Lovato,0.651,0.695,0.569,0.23,2020
Lucky,Britney Spears,0.765,0.791,0.966,0.262,2020
Buttons,The Pussycat Dolls,0.57,0.821,0.408,0.178,2020
Get Busy,Sean Paul,0.735,0.824,0.726,0.615,2020
ROCKSTAR (feat. Roddy Ricch),DaBaby,0.746,0.69,0.497,0.247,2020
Who Says,Selena Gomez & The Scene,0.682,0.927,0.744,0.0843,2020
Crystal Dolphin,Engelwood,0.558,0.776,0.247,0.33,2020
STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,0.478,0.0383,2021
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0.464,0.321,2021
edamame (feat. Rich Brian),bbno$,0.815,0.848,0.684,0.023,2021
Here's Your Perfect,Jamie Miller,0.558,0.454,0.424,0.499,2021
It's You,Sezairi,0.63,0.456,0.166,0.545,2021
Take You Dancing,Jason Derulo,0.789,0.711,0.753,0.0332,2021
It's Only Me - Studio Version,Kaleb J,0.602,0.298,0.316,0.31,2021
Reckless,Madison Beer,0.386,0.426,0.261,0.807,2021
deja vu,Olivia Rodrigo,0.442,0.612,0.178,0.584,2021
Paradise,Bazzi,0.844,0.644,0.591,0.0828,2021
Never (feat. OMI),Marcus & Martinus,0.651,0.595,0.816,0.279,2021
Need to Know,Doja Cat,0.664,0.609,0.194,0.304,2021
Into Your Arms (feat. Ava Max),Witt Lowry,0.504,0.788,0.228,0.0134,2021
Apollo,Nightcore High,0.483,0.611,0.325,0.117,2021
